Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR,NiTi
1/14/2022,YL001,31183,-3.2,1.3,3.6,-0.1,0.6,-1.9,84.2,0.3
1/30/2022,YL001,31184,-0.4,-0.2,-0.6,0,0,-0.3,98.3,0.3
1/14/2022,YL001,31393,-3.7,1.8,3.3,-0.2,0.8,-2.1,83.1,0.3
1/30/2022,YL001,31406,-3.6,1.5,3.2,-0.2,0.6,-1.4,87.2,0.3
1/30/2022,YL001,31601,1.1,-0.5,-2.4,0,-0.2,0.5,107,0.3
1/30/2022,YL001,31602,1.1,-0.3,-2.9,-0.1,-0.1,0.5,108,0.3
1/30/2022,YL001,31603,1.3,-0.5,-2.6,0.2,-0.1,0.4,103,0.3
1/30/2022,YL001,31604,1.6,-0.6,-2.7,0.2,-0.1,0.5,104,0.3
2/25/2022,YL001,31925,1.5,-0.4,-5.6,0.1,-0.1,0.5,109,0.3
2/25/2022,YL001,31926,0,0.2,-0.2,0.1,0,0.2,100,0.3
2/26/2022,YL001,32399,2,-0.9,-3.2,0.2,-0.3,0.6,107,0.3
3/16/2022,YL001,32400,-2.2,0.9,2.1,-0.2,0.4,-1.3,90,0.3
3/17/2022,YL001,32982,-0.4,0.2,-1.3,-0.1,0.2,-0.6,98,0.3
