Date,Product,Lot,MDL,MDA,MDB,TDL,TDA,TDB,STR
10/20/2021,BL008,27395,0.28,0.07,-0.68,-0.43,-0.08,-0.41,104.33
10/20/2021,BL008,27486,0.43,1.31,-2.04,0.06,0,-0.33,99.7
10/30/2021,BL008,27499,0.14,-0.7,0.38,0.15,-0.1,0.31,98.58
10/31/2021,BL008,27500,0.24,1,-1.43,-0.01,0.09,-0.2,100.07
10/31/2021,BL008,27501,0.35,1.08,-1.71,-0.01,0.08,-0.18,100.07
11/6/2021,BL008,27925,0.42,-0.28,-0.56,-0.1,-0.12,-0.19,101.21
11/5/2021,BL008,27926,-0.04,-0.88,0.9,-0.4,-0.15,-0.3,104.18
10/28/2021,BL008,28012,-0.63,-0.66,1.92,-0.22,-0.06,-0.23,102.21
11/5/2021,BL008,28283,-0.22,0.43,-0.09,-0.05,0.02,-0.22,100.53
11/6/2021,BL008,28284,-0.13,-0.8,0.99,-0.32,-0.08,-0.19,103.16
11/7/2021,BL008,28285,-0.22,1.03,-0.65,-0.24,0.08,-0.52,102.47
11/6/2021,BL008,28286,-0.28,0.41,0.1,-0.21,0.08,-0.32,102.16
11/3/2021,BL008,28354,-0.27,-0.26,0.77,-0.08,-0.06,-0.16,100.9
11/4/2021,BL008,28355,-0.12,0.4,-0.04,-0.07,0.05,-0.22,100.72
11/4/2021,BL008,28357,-0.13,0.55,-0.36,0.04,0.07,-0.14,99.7
11/16/2021,BL008,28537,0.88,0.1,-1.72,-0.13,-0.07,-0.2,101.55
11/20/2021,BL008,28979,0.18,-0.35,-0.18,-0.17,-0.13,-0.13,101.79
11/26/2021,BL008,28980,-0.09,0.84,-0.62,-0.04,0.04,-0.32,100.55
11/13/2021,BL008,29119,-0.11,0.9,-0.85,-0.24,0.09,-0.38,102.44
11/25/2021,BL008,29259,-0.05,0.3,-0.37,-0.92,0.03,-0.95,109.54
11/28/2021,BL008,29260,-0.19,-0.28,0.51,-0.21,-0.11,-0.19,102.25
11/20/2021,BL008,29541,0.35,0.37,-0.8,-0.14,-0.06,-0.28,101.71
11/30/2021,BL008,30055,-0.19,-0.53,0.86,-0.38,-0.09,-0.35,103.84
12/1/2021,BL008,30056,-0.24,-0.33,0.81,-0.34,0.01,-0.27,103.31
12/29/2021,BL008,30458,-0.04,0.59,-0.56,-0.09,0.01,-0.29,100.98
12/20/2021,BL008,30459,-0.22,0.32,0.16,-0.31,-0.05,-0.58,103.29
12/6/2021,BL008,30612,0.04,-1.03,1.09,-0.44,-0.07,-0.34,104.4
12/19/2021,BL008,31205,-0.41,0.19,0.57,-0.19,0.01,-0.38,101.99
12/20/2021,BL008,31206,0.06,0.75,-0.79,-0.36,0.03,-0.62,103.77
12/28/2021,BL008,31388,-0.23,0.61,-0.08,-0.13,0.04,-0.36,101.31
12/29/2021,BL008,31389,-0.09,-0.65,0.7,-0.23,-0.12,-0.31,102.56
1/3/2022,BL008,31390,0.05,0.59,-1,-0.14,-0.05,-0.38,101.5
1/3/2022,BL008,31391,-0.07,0.48,-0.32,-0.23,0.03,-0.44,102.17
